gauge_id,ri_5,ri_10,ri_50,ri_500
1466500,19,23,43,82
10244950,33,42,81,163
10172800,57,82,121,202
9378630,32,75,163,401
13018300,112,153,202,292
9066300,93,114,181,275
9047700,71,97,172,303
10023000,109,131,240,410
13083000,82,109,205,412
10310500,66,114,239,614
1484100,94,133,212,381
9034900,175,195,247,305
8271000,190,219,326,453
4105700,179,226,283,415
10249300,94,112,285,631
9066000,272,322,405,495
9066200,210,267,368,537
1118300,236,282,412,660
1486000,296,336,534,880
8267500,279,348,547,863
9035900,414,469,603,755
7083000,350,429,560,742
12073500,240,381,607,1097
10172700,71,95,366,1382
10205030,264,490,725,1362
2102908,245,346,629,1283
1139800,434,566,779,1192
2235200,477,676,914,1347
6311000,393,423,683,971
9065500,506,568,792,1088
1542810,306,412,698,1277
8377900,395,641,889,1442
9210500,683,749,1063,1422
9312600,390,444,973,1758
3357350,650,772,1060,1523
10316500,679,762,999,1382
10343500,269,444,888,2187
8269000,346,491,886,1599
6409000,119,220,527,1640
10234500,658,765,1243,1967
9404450,360,638,1354,3841
12447390,548,696,1007,1585
6291500,570,711,1084,1645
4127997,852,936,1141,1426
1073000,447,603,969,1649
10173450,596,697,1094,1583
6447500,420,677,1362,3460
4043050,979,1130,1393,1711
1162500,566,683,1253,2324
6622700,891,1104,1409,1917
10259000,223,519,1503,6484
11180500,537,767,2612,5027
4063700,896,1100,1503,2290
3450000,477,684,1296,2826
6278300,908,1095,1426,1875
4057800,869,1184,1682,2685
9223000,1103,1271,1852,2537
4057510,1385,1566,1934,2407
3026500,669,1206,1813,3777
13161500,1140,1501,2342,3650
6332515,790,1300,2641,5121
12147600,1733,2019,2573,3271
6623800,1455,1634,2144,2737
1123000,1457,1866,2537,3693
14138800,1403,1778,2245,2994
4074950,1770,1948,2287,2755
9492400,398,733,1423,3473
11141280,999,1755,3955,8828
6289000,1567,1790,2489,3393
1669000,657,993,2041,4655
7301410,844,1440,2793,5592
12117000,1304,1696,2545,4106
10336660,1100,1840,2992,6981
5120500,475,782,2202,6294
2324400,684,928,2028,4662
2312200,767,1088,2531,4902
6221400,1263,1503,2190,3379
1487000,1216,1630,2543,4386
